127.0.0.1 - - [20/Jan/2026:18:25:22 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [20/Jan/2026:18:25:24 +0530] "GET /Swiggy-UserManagement/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [20/Jan/2026:18:25:49 +0530] "GET /Swiggy-UserManagement/findAllUsers HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [20/Jan/2026:18:49:34 +0530] "POST /Swiggy-UserManagement/register HTTP/1.1" 500 38
0:0:0:0:0:0:0:1 - - [20/Jan/2026:18:50:09 +0530] "POST /Swiggy-UserManagement/register HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [20/Jan/2026:18:51:30 +0530] "POST /Swiggy-UserManagement/register HTTP/1.1" 500 38
0:0:0:0:0:0:0:1 - - [20/Jan/2026:19:24:09 +0530] "PUT /Swiggy-UserManagement/edit/1 HTTP/1.1" 500 195
0:0:0:0:0:0:0:1 - - [20/Jan/2026:19:29:10 +0530] "PUT /Swiggy-UserManagement/edit/1 HTTP/1.1" 500 195
0:0:0:0:0:0:0:1 - - [20/Jan/2026:19:29:35 +0530] "PUT /Swiggy-UserManagement/edit/1 HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [20/Jan/2026:19:42:01 +0530] "PATCH /Swiggy-UserManagement/edit/1 HTTP/1.1" 500 15710
0:0:0:0:0:0:0:1 - - [20/Jan/2026:19:42:20 +0530] "PATCH /Swiggy-UserManagement/delete/1 HTTP/1.1" 500 15710
0:0:0:0:0:0:0:1 - - [20/Jan/2026:19:42:40 +0530] "PATCH /Swiggy-UserManagement/delete/1 HTTP/1.1" 500 15710
0:0:0:0:0:0:0:1 - - [20/Jan/2026:19:43:40 +0530] "GET /Swiggy-UserManagement/findAllUsers HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [20/Jan/2026:19:45:04 +0530] "PATCH /Swiggy-UserManagement/delete/52 HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [20/Jan/2026:19:51:42 +0530] "PATCH /Swiggy-UserManagement/delete/52 HTTP/1.1" 200 24
